TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.21979166666666666,85,8
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,BRANCH,0.0,2,0
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,BRANCH,0.0625,16,1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,BRANCH,0.0,2,0
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,METHOD,0.0,1,1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,METHOD,0.0,1,1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,METHOD,0.0,1,1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,METHOD,0.0,1,1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,METHOD,0.0,1,1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,METHOD,0.0,1,1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,METHOD,0.0,1,1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,LINE,0.0,1,0
